customer_id,gender,age,education_level,business_type,monthly_income_pln,dependents,dwelling_type,residence_area,distance_to_city_km,road_quality_1to5,wealth_estimate_pln,credit_score_300_850,marital_status,preferred_contact,risk_profile,owns_garage,has_children,has_history,monthly_km,previous_vehicle_segment,previous_vehicle_model,previous_trim,previous_financing,previous_insurance,previous_purchase_price,previous_monthly_rate,previous_vehicle_age_at_purchase,current_budget_monthly_max,dti_limit,updated_at
1,M,24,master,unemployed,31843,2,apartment,urban,0,5,651485,664,married,phone,medium,0,1,False,,,,,,,,,,8703.0,0.37,2025-09-18 05:56:25.242966
2,M,62,master,public_sector,40000,0,house,rural,19,4,1947548,582,married,email,low,0,0,True,636.0,city,A2 Micro,base,cash,OC_only,76469.0,0.0,0.0,11801.0,0.35,2025-10-29 05:56:25.242966
3,M,56,bachelor,retired,40000,1,house,rural,48,3,3625626,850,single,phone,medium,0,1,True,1235.0,crossover,F3 Edge,base,lease_36,OC_AC,92528.0,82.14,3.0,11881.0,0.3,2025-08-16 05:56:25.242966
4,F,44,phd,student,40000,2,house,urban,0,5,2152545,850,divorced,email,medium,1,1,True,840.0,compact,B1 Compact,premium,lease_36,OC_AC,89614.0,83.94,2.0,9927.0,0.29,2025-10-29 05:56:25.242966
5,M,43,primary,sole_trader,28907,3,house,rural,33,4,2121907,718,single,chat,low,0,1,True,688.0,suv,E3 Adventure,tech,lease_48,OC_AC,124023.0,70.55,0.0,9301.0,0.34,2025-10-10 05:56:25.242966
6,M,67,phd,employee,40000,2,house,rural,27,3,1397050,819,single,chat,low,1,1,True,931.0,suv,E1 SUV,tech,cash,OC_AC,157178.0,0.0,2.0,12220.0,0.31,2025-10-05 05:56:25.242966
7,F,24,phd,employee,40000,2,apartment,rural,12,5,1299050,662,partnership,phone,low,0,1,True,1229.0,sedan,C1 Sedan,base,lease_48,OC_AC,113502.0,68.07,2.0,10310.0,0.36,2025-08-22 05:56:25.242966
8,M,58,bachelor,student,34821,2,house,urban,0,5,3164235,718,single,phone,low,0,1,True,684.0,compact,B3 Active,comfort,cash,OC_AC,70202.0,0.0,4.0,10341.0,0.37,2025-10-24 05:56:25.242966
9,M,31,master,employee,31065,1,house,urban,0,5,1280527,603,single,email,medium,1,1,True,965.0,city,A3 Urban,comfort,loan_60,OC_only,74118.0,40.27,1.0,6907.0,0.38,2025-09-27 05:56:25.242966
10,F,25,bachelor,retired,40000,1,house,rural,12,4,2140192,498,married,email,low,0,1,False,,,,,,,,,,13159.0,0.38,2025-09-29 05:56:25.242966
11,M,48,vocational,employee,30634,2,apartment,urban,0,5,2647524,670,married,chat,high,1,1,True,943.0,compact,B2 Hatch,comfort,loan_60,OC_AC,108242.0,67.82,4.0,7314.0,0.36,2025-09-24 05:56:25.242966
12,F,73,master,employee,39814,0,apartment,urban,0,5,2763231,850,single,phone,low,0,0,True,537.0,city,A2 Micro,premium,cash,OC_AC,51181.0,0.0,2.0,10155.0,0.34,2025-08-14 05:56:25.242966
13,F,60,vocational,employee,40000,3,apartment,rural,9,4,1839396,634,single,email,low,1,1,True,936.0,suv,E3 Adventure,base,loan_60,OC_only,197329.0,109.09,0.0,11999.0,0.37,2025-10-02 05:56:25.242966
14,M,61,vocational,employee,40000,3,apartment,urban,0,5,2509317,559,single,email,high,0,1,False,,,,,,,,,,10277.0,0.4,2025-09-30 05:56:25.242966
15,F,59,bachelor,employee,29160,1,apartment,rural,41,3,808895,487,married,phone,low,0,1,False,,,,,,,,,,8120.0,0.37,2025-09-25 05:56:25.242966
16,F,63,phd,employee,40000,1,apartment,rural,27,3,1310367,463,single,phone,medium,1,1,False,,,,,,,,,,11694.0,0.41,2025-09-26 05:56:25.242966
17,F,48,secondary,retired,40000,1,house,urban,0,5,898932,778,divorced,email,medium,1,1,False,,,,,,,,,,9283.0,0.31,2025-08-07 05:56:25.242966
18,F,27,secondary,employee,36111,3,apartment,urban,0,5,2440152,425,divorced,phone,medium,1,1,True,1333.0,wagon,D3 Long,premium,lease_48,OC_AC,105609.0,68.47,1.0,7963.0,0.4,2025-10-07 05:56:25.242966
19,F,66,primary,employee,40000,3,apartment,rural,32,4,3013841,675,single,email,low,0,1,False,,,,,,,,,,12122.0,0.35,2025-10-21 05:56:25.242966
20,F,44,primary,employee,18530,0,house,urban,0,4,749102,492,single,phone,low,1,0,False,,,,,,,,,,5076.0,0.4,2025-09-24 05:56:25.242966
21,F,47,primary,employee,34995,2,apartment,urban,0,5,1270998,481,single,phone,high,1,1,True,1188.0,wagon,D1 Tourer,comfort,loan_60,OC_only,99896.0,56.74,3.0,8761.0,0.39,2025-10-24 05:56:25.242966
22,M,40,primary,employee,26200,0,apartment,rural,7,5,1651056,557,single,phone,low,1,0,False,,,,,,,,,,8316.0,0.38,2025-08-21 05:56:25.242966
23,F,30,phd,company_owner,40000,2,apartment,urban,0,5,2856533,571,single,chat,medium,0,1,False,,,,,,,,,,10998.0,0.37,2025-08-12 05:56:25.242966
24,F,70,phd,student,40000,1,house,urban,0,5,1948015,736,divorced,email,medium,1,1,True,838.0,suv,E1 SUV,comfort,cash,OC_AC,153673.0,0.0,2.0,10954.0,0.35,2025-08-18 05:56:25.242966
25,F,62,master,employee,40000,1,apartment,rural,51,2,1912286,516,married,email,medium,0,1,True,1222.0,compact,B1 Compact,tech,cash,OC_AC_GAP,107152.0,0.0,3.0,10973.0,0.4,2025-08-20 05:56:25.242966
26,M,55,primary,sole_trader,40000,2,apartment,urban,0,5,3301456,570,married,email,medium,0,1,True,847.0,crossover,F2 Flex,tech,lease_48,OC_AC,118033.0,70.5,1.0,11191.0,0.38,2025-09-24 05:56:25.242966
27,M,42,primary,employee,40000,1,house,urban,0,5,3091307,394,married,phone,high,1,1,True,386.0,suv,E1 SUV,comfort,loan_60,OC_AC,125118.0,65.62,4.0,9344.0,0.44,2025-08-30 05:56:25.242966
28,M,65,vocational,employee,39417,1,house,rural,39,3,3662985,354,divorced,chat,low,0,1,True,1299.0,suv,E2 Trail,base,lease_36,OC_only,211882.0,172.5,0.0,13143.0,0.45,2025-09-26 05:56:25.242966
29,M,49,bachelor,retired,40000,3,house,urban,0,4,1666457,850,single,phone,medium,1,1,False,,,,,,,,,,10586.0,0.3,2025-08-16 05:56:25.242966
30,M,44,secondary,employee,40000,4,house,urban,0,5,1161334,850,single,phone,medium,0,1,True,1260.0,crossover,F1 Cross,base,lease_36,OC_AC,131218.0,115.49,2.0,9922.0,0.26,2025-10-14 05:56:25.242966
31,M,44,secondary,retired,39506,0,apartment,urban,0,5,1955277,755,partnership,phone,low,0,0,True,717.0,sedan,C2 Executive,premium,lease_36,OC_AC,119351.0,101.97,2.0,11721.0,0.34,2025-10-19 05:56:25.242966
32,M,32,vocational,employee,31559,1,apartment,urban,0,5,1151515,468,single,phone,medium,0,1,True,957.0,sedan,C3 Classic,comfort,loan_60,OC_AC,132831.0,71.93,2.0,8054.0,0.39,2025-08-05 05:56:25.242966
